Component,Interval
Engine Oil Level,10
Engine Coolant Level,10
Rotary Screen,10
Air Cooler,10
Oil Cooler,10
Radiator,10
Condenser,10
Fuel Cooler,10
Hydrostatic Oil,10
Hydraulic Oil,10
Main Engine Gear Case Oil,10
Air Compressor Reservoir,10
Fuel Precleaner Filter,10
Two-Speed Four-Wheel Drive Motor Pivots,10
Two-Wheel Drive Spindle Bearings,10
Two-Wheel Drive Pivot Pins,10
Air Conditioner Drain Hose,10
Stone Trap,10
ActiveVision Tailings System Camera,10
Driveshaft Couplers,50
Two-Speed Four-Wheel Drive Motor Pivots Normal,50
Two-Speed Four-Wheel Drive Spindle Bearings Normal,50
Two-Speed Four-Wheel Drive Pivot Pins Normal,50
Lateral Tilt Feeder House,50
Feeder House Conveyor Drive Chain Tension,50
Cleaning Fan Variable Driven Sheaves Severe,50
Fuel Precleaner Filter,50
Water Separator Primary Fuel Filter,50
Rotary Screen,50
Air Cooler,50
Oil Cooler,50
Radiator,50
Condenser,50
Fuel Cooler,50
Mass Flow Sensor,50
Cab Fresh Air Filter,50
Moisture Sensor,50
Moisture Sensor Bypass Auger,50
ActiveVision Clean Grain Elevator Camera,50
Tire Pressure,100
Wheel Bolt Torque,100
Cleaning Fan Variable Driven Sheaves Normal,100
Feeder House Conveyor Chain,100
Recirculating Filter,200
Separator Variable Speed Driven Sheave,200
Separator Variable Speed Driver Sheave,200
Front End Variable Speed Driven Sheave,200
Front End Variable Speed Driver Sheave,200
Unloading Elbow Gear Case,400
Vertical Unloading Auger Upper Gear Case,400
Rear Axle Tie Rods,400
Final Drive Oil,400
Chopper Gear Case Oil,400
Feeder House Dust Fan,400
Batteries,400
Fire Extinguishers,400
Seat Belts,400
Loading Auger Fixed Gear Case Oil,400
Loading Auger Pivoting Gear Case Oil,400
Air Filter Elements,400
Moisture Sensor,400
Moisture Sensor Bypass Auger,400
ActiveVision Clean Grain Elevator Camera,400
ActiveVision Tailings System Camera,400
Engine Oil,500
Engine Filter,500
Primary Fuel Filter,500
Secondary Fuel Filter,500
Fuel Precleaner Filter Style A,500
Fuel Precleaner Filter Style B,500
Fuel Tank Breather,500
Fuel Tank Breather Fast Fill,500
Diesel Exhaust Fluid Tank Breather,500
Transmission Filter,1000
Hydrostatic Cooler Return Filter,1000
Auxiliary Hydraulic Return Filter,1000
Main Engine Gear Case Filter,1000
Rotor Lube Filter,1000
Hydrostatic Charge Filter,1000
Transmission Return Filter,1000
Main Engine Gear Case Breather,1000
Feed Accelerator Gear Case Oil,1000
Cleaning Fan Variable Speed Driven Sheave Oil,1000
Diesel Exhaust Fluid Dosing Unit Filter,1500
Diesel Exhaust Fluid In-Line Filter,1500
Final Drives Oil Both Sides,2000
Hydraulic System Oil,2000
Hydraulic Filters,2000
Hydraulic Reservoir Drain Valve,2000
Engine Gear Case Hydraulic Oil Drain,2000
Transmission Drain Plug,2000
Hydrostatic Cooler Return Filter,2000
Auxiliary Hydraulic Return Filter,2000
Main Engine Gear Case Filter,2000
Rotor Lube Filter,2000
Hydrostatic Charge Filter,2000
Transmission Filter,2000
Hydraulic Reservoir Cap,2000
Hydraulic Reservoir Fitting,2000
Engine Coolant,6000